run_id,market,lookback_label,lookback_days,skip_label,skip_days,quantile,evaluation_start,evaluation_end,runtime_seconds,rebal_freq,gross_exposure,transaction_cost_bps,portfolio_accounting,annualization_days,start_date,end_date,n_days,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,calmar,daily_hit_rate,n_rebalances,total_turnover,annualized_turnover,avg_rebalance_turnover,avg_n_eligible,avg_n_long,avg_n_short,min_n_long,min_n_short,min_daily_gross_exposure,max_daily_gross_exposure,max_abs_daily_net_exposure,days_with_stale_held_prices,avg_stale_held_gross_exposure,max_stale_held_gross_exposure,n_stale_recovery_events,max_abs_stale_recovery_return,max_abs_stale_recovery_contribution,n_zero_target_rebalances,zero_target_effective_dates,has_zero_target_rebalance
moex_lb12M_sk0M_q30,moex,12M,252,0M,0,0.3,2015-07-01,2024-12-30,3.3445589170005405,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.0009328561927164,0.075319273523196,0.0769974356729174,0.9818048547584036,-0.1495641046607372,0.5035919126052738,0.5288741171582884,114,26.930432949594795,2.819471999708304,0.2362318679789017,72.3157894736842,21.26315789473684,21.26315789473684,0,0,0.9999999999999996,1.0000000000000002,2.498001805406602e-16,199,0.0099534998633117,1.0000000000000002,134,0.9898392453832868,0.0125357935521223,1,2023-02-01,True
moex_lb12M_sk1M_q10,moex,12M,252,1M,21,0.1,2015-07-01,2024-12-30,3.239095457996882,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.433982075568052,0.0976031855652896,0.1361065200197795,0.7524157648686356,-0.1959550416495146,0.4980896880411112,0.5301204819277109,114,37.50137064169914,3.926192522521056,0.3289593915938519,72.51754385964912,6.7368421052631575,6.7368421052631575,2,2,0.9999999999999996,1.0000000000000004,2.220446049250313e-16,89,0.0109277675750983,1.0,47,0.495049504950495,0.0325385903644459,0,,False
moex_lb12M_sk1M_q20,moex,12M,252,1M,21,0.2,2015-07-01,2024-12-30,3.34056770800089,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,0.9376403087679112,0.0717067357823744,0.0944752134820032,0.780429229941269,-0.1633279950048364,0.4390351805901435,0.5301204819277109,114,30.096269972108416,3.1509181690782384,0.2640023681763896,72.51754385964912,14.052631578947368,14.052631578947368,4,4,0.9999999999999996,1.0000000000000004,2.5673907444456745e-16,154,0.0103440114832051,1.0000000000000002,93,0.9898392453832868,0.0191056344600651,0,,False
moex_lb12M_sk1M_q30,moex,12M,252,1M,21,0.3,2015-07-01,2024-12-30,3.521877207997022,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,0.5931445679113256,0.0499655120144575,0.0741125146652822,0.6950398078308477,-0.1215961721169655,0.4109135274948855,0.516825924387204,114,26.615872022466355,2.7865391564858832,0.233472561600582,72.51754385964912,21.32456140350877,21.32456140350877,6,6,0.9999999999999996,1.0000000000000002,2.775557561562891e-16,229,0.0102664297517632,1.0,138,0.9898392453832868,0.0129114343053673,0,,False
moex_lb12M_sk3M_q10,moex,12M,252,3M,63,0.1,2015-07-01,2024-12-30,3.2664572079956997,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,0.790322072589265,0.0628709507254452,0.1274070262311624,0.5423184164435606,-0.3297857214326293,0.190641821763314,0.5076859160781055,114,38.44090381372124,4.024556610327275,0.3372009106466775,71.40350877192982,6.640350877192983,6.640350877192983,2,2,0.9999999999999998,1.0000000000000002,2.220446049250313e-16,69,0.0100078224455234,1.0,46,0.495049504950495,0.0326422736055936,0,,False
moex_lb12M_sk3M_q20,moex,12M,252,3M,63,0.2,2015-07-01,2024-12-30,3.372698667000805,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,0.4941186522170668,0.0429348602522359,0.0882002694247771,0.5208062192619982,-0.2000252095526435,0.2146472454560089,0.5143331948483589,114,30.42664550393502,3.185506716656263,0.2669003991573248,71.40350877192982,13.833333333333334,13.833333333333334,4,4,0.9999999999999996,1.0000000000000004,2.5673907444456745e-16,146,0.0102254708265041,1.0,89,0.9898392453832868,0.0190943058381035,0,,False
moex_lb12M_sk3M_q30,moex,12M,252,3M,63,0.3,2015-07-01,2024-12-30,3.418947792000836,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,0.2386547611336793,0.0226602975318455,0.0699982411316139,0.3551185491661182,-0.1383689351320529,0.1637672322202925,0.5047777316161196,114,26.434229926580898,2.767522202533604,0.2318792098822885,71.40350877192982,21.0,21.0,6,6,0.9999999999999996,1.0000000000000002,2.5500435096859064e-16,199,0.0098660682772462,1.0000000000000002,131,0.9898392453832868,0.0129989484558808,0,,False
moex_lb24M_sk0M_q10,moex,24M,504,0M,0,0.1,2015-07-01,2024-12-30,3.283397207997041,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,0.0425688401100936,0.0043740176299451,0.134215718442985,0.0995922618731354,-0.2951200498349121,0.0148211469616922,0.4885749896136269,114,30.603772876495103,3.204051003272441,0.2708298484645584,66.87719298245614,6.245614035087719,6.245614035087719,1,1,0.9999999999999996,1.0000000000000002,2.220446049250313e-16,83,0.0099116433247929,1.0000000000000002,41,0.9898392453832868,0.0395327045982856,0,,False
moex_lb24M_sk0M_q20,moex,24M,504,0M,0,0.2,2015-07-01,2024-12-30,3.41865945799509,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,0.5309121074203598,0.0455945256434366,0.096653354226156,0.509658936299885,-0.1779065588684508,0.2562835565671897,0.5068550062318239,114,25.465698822632092,2.6661221866652625,0.2233833230055447,66.87719298245614,12.964912280701755,12.964912280701755,1,1,0.9999999999999996,1.0000000000000004,2.220446049250313e-16,138,0.009769690157203,1.0,76,0.9898392453832868,0.0190549296229282,0,,False
moex_lb24M_sk0M_q30,moex,24M,504,0M,0,0.3,2015-07-01,2024-12-30,3.410687957999471,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,0.093043750622471,0.0093578011237005,0.0777112233833089,0.1586920899309803,-0.1502818539157027,0.0622683369939633,0.5072704611549647,114,23.62475337660112,2.473385064770869,0.2072346787421151,66.87719298245614,19.587719298245613,19.587719298245613,2,2,0.9999999999999996,1.0000000000000002,2.5153490401663703e-16,195,0.0096553018044483,1.0000000000000002,116,0.9898392453832868,0.0128798487801946,0,,False
