run_id,market,lookback_label,lookback_days,skip_label,skip_days,quantile,evaluation_start,evaluation_end,runtime_seconds,rebal_freq,gross_exposure,transaction_cost_bps,portfolio_accounting,annualization_days,start_date,end_date,n_days,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,calmar,daily_hit_rate,n_rebalances,total_turnover,annualized_turnover,avg_rebalance_turnover,avg_n_eligible,avg_n_long,avg_n_short,min_n_long,min_n_short,min_daily_gross_exposure,max_daily_gross_exposure,max_abs_daily_net_exposure,days_with_stale_held_prices,avg_stale_held_gross_exposure,max_stale_held_gross_exposure,n_stale_recovery_events,max_abs_stale_recovery_return,max_abs_stale_recovery_contribution
moex_lb6M_sk1M_q20,moex,6M,126,1M,21,0.2,2015-07-01,2024-12-30,3.287104167000507,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.0682993148501567,0.0790536304295626,0.092264585597385,0.8709139166834109,-0.21430574818047676,0.3688824546273387,0.5263813876194433,114,41.12301758628424,4.305359547878533,0.36072822444108976,74.70175438596492,14.491228070175438,14.491228070175438,8,8,0.9999999999999997,1.0000000000000004,2.463307335887066e-16,161,0.010464035192367847,1.0000000000000002,93,0.49504950495049505,0.016399147991833913
moex_lb6M_sk1M_q30,moex,6M,126,1M,21,0.3,2015-07-01,2024-12-30,3.4892321250008536,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,0.9255694935857655,0.07100580026814218,0.07135881758344634,0.9971494732764121,-0.18448920204990282,0.3848778111628218,0.5321977565434151,114,35.614706797188724,3.7286689293276103,0.31240970874726953,74.70175438596492,21.982456140350877,21.982456140350877,13,13,0.9999999999999996,1.0000000000000002,3.0531133177191805e-16,213,0.009960893177863283,1.0000000000000002,135,0.49504950495049505,0.0107891228141907
moex_lb6M_sk3M_q10,moex,6M,126,3M,63,0.1,2015-07-01,2024-12-30,3.191655542002991,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.045518759722396,0.07780317166620643,0.13337231973575572,0.6283609487401361,-0.19614115898793905,0.39666927669674185,0.5180722891566265,114,48.74170687222512,5.102995484753108,0.4275588322125011,73.87719298245614,6.885964912280702,6.885964912280702,4,4,0.9999999999999997,1.0000000000000002,2.220446049250313e-16,91,0.010361944067058008,1.0,45,0.49504950495049505,0.03267749971321259
moex_lb6M_sk3M_q20,moex,6M,126,3M,63,0.2,2015-07-01,2024-12-30,3.2910008749968256,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.0190639816702691,0.0763352858175863,0.08906713413013764,0.8705376262890323,-0.12227517243829689,0.6242909684392962,0.5205650186954716,114,40.94524746929535,4.286747969365363,0.3591688374499593,73.87719298245614,14.324561403508772,14.324561403508772,8,8,0.9999999999999997,1.0000000000000004,2.498001805406602e-16,152,0.01012501829941923,1.0,89,0.49504950495049505,0.016815089565034375
moex_lb6M_sk3M_q30,moex,6M,126,3M,63,0.3,2015-07-01,2024-12-30,3.3259273749936256,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,0.6834328240536143,0.05604272003515964,0.06988765882376262,0.8152497973466677,-0.13750768336002162,0.4075606443636244,0.519318653926049,114,35.91328304570611,3.7599282623672368,0.31502879864654476,73.87719298245614,21.75438596491228,21.75438596491228,13,13,0.9999999999999996,1.0000000000000004,2.3592239273284576e-16,163,0.009562789970113018,1.0000000000000002,136,0.49504950495049505,0.010942325867815633
moex_lb12M_sk0M_q10,moex,12M,252,0M,0,0.1,2015-07-01,2024-12-30,3.1843674579940853,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.936484282819292,0.11938388636377595,0.13796882880858682,0.8863203327616254,-0.22294703861455556,0.5354809245534501,0.5267968425425841,114,36.837556251218174,3.856694713463639,0.32313645834401894,72.3157894736842,6.719298245614035,6.719298245614035,0,0,0.9999999999999997,1.0000000000000002,2.220446049250313e-16,72,0.009913103728318294,1.0,46,0.49504950495049505,0.032627299481807086
moex_lb12M_sk0M_q20,moex,12M,252,0M,0,0.2,2015-07-01,2024-12-30,3.3888834589961334,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.3420495730753577,0.09318768122228871,0.09752847188372787,0.962554162731332,-0.16983923450594773,0.5486817076947276,0.5288741171582884,114,30.141281705962253,3.1556306563782663,0.26439720794703736,72.3157894736842,14.052631578947368,14.052631578947368,0,0,0.9999999999999997,1.0000000000000002,2.498001805406602e-16,181,0.010686960494563967,1.0,91,0.49504950495049505,0.01660700141277905
moex_lb12M_sk0M_q30,moex,12M,252,0M,0,0.3,2015-07-01,2024-12-30,3.3445589170005405,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.0009328561927164,0.075319273523196,0.07699743567291746,0.9818048547584036,-0.14956410466073722,0.5035919126052738,0.5288741171582884,114,26.930432949594795,2.819471999708304,0.23623186797890172,72.3157894736842,21.263157894736842,21.263157894736842,0,0,0.9999999999999996,1.0000000000000002,2.498001805406602e-16,199,0.009953499863311748,1.0000000000000002,134,0.9898392453832868,0.012535793552122344
moex_lb12M_sk1M_q10,moex,12M,252,1M,21,0.1,2015-07-01,2024-12-30,3.239095457996882,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.4339820755680521,0.09760318556528969,0.13610652001977955,0.7524157648686356,-0.1959550416495146,0.4980896880411112,0.5301204819277109,114,37.50137064169914,3.926192522521056,0.32895939159385196,72.51754385964912,6.7368421052631575,6.7368421052631575,2,2,0.9999999999999997,1.0000000000000004,2.220446049250313e-16,89,0.010927767575098321,1.0,47,0.49504950495049505,0.03253859036444593
moex_lb12M_sk1M_q20,moex,12M,252,1M,21,0.2,2015-07-01,2024-12-30,3.34056770800089,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,0.9376403087679113,0.07170673578237441,0.09447521348200326,0.780429229941269,-0.1633279950048364,0.4390351805901435,0.5301204819277109,114,30.096269972108416,3.1509181690782384,0.2640023681763896,72.51754385964912,14.052631578947368,14.052631578947368,4,4,0.9999999999999997,1.0000000000000004,2.5673907444456745e-16,154,0.010344011483205148,1.0000000000000002,93,0.9898392453832868,0.01910563446006512
