market,portfolio_type,portfolio_members,sample,transaction_cost_bps,is_primary_cost,n_days,start,end,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,hit_rate,annualized_turnover
moex,best_frozen_single,moex_lb6M_sk1M_q30,retrospective_holdout,20.0,True,510,2023-01-03,2024-12-30,0.02486721950068138,0.012210995309928308,0.07574741180757671,0.1980322574852879,0.28444174516530635,-0.09278563237071802,0.1316043766468088,0.49411764705882355,3.7404821420390553
moex,best_frozen_single,moex_lb6M_sk1M_q30,validation,0.0,False,1897,2015-07-01,2022-12-30,0.8505907905835193,0.08520020762503355,0.07015728831462015,1.2007476448506225,1.589020589132093,-0.16538735166360075,0.5151555228862452,0.5419082762256194,3.725492999710933
moex,best_frozen_single,moex_lb6M_sk1M_q30,validation,10.0,False,1897,2015-07-01,2022-12-30,0.799428341358287,0.08116608376224477,0.07015716952512341,1.1476475784038362,1.5198387566677285,-0.1670277910564837,0.48594358608740074,0.540326831839747,3.725492999710933
moex,best_frozen_single,moex_lb6M_sk1M_q30,validation,20.0,True,1897,2015-07-01,2022-12-30,0.7496642040528936,0.07714563532883911,0.07017375867757893,1.0942867271266667,1.4504992199072444,-0.16866555391426252,0.4573882072450574,0.5387453874538746,3.725492999710933
us,base_strategy,us_lb6M_sk1M_q10,retrospective_holdout,0.0,False,502,2023-01-03,2024-12-31,-0.0926475210300387,-0.04763395372655477,0.09790987289926244,-0.4494868985252429,-0.6732579113505923,-0.12621309545290693,-0.3774089650176444,0.5219123505976095,4.988809147275917
us,base_strategy,us_lb6M_sk1M_q10,retrospective_holdout,25.0,True,502,2023-01-03,2024-12-31,-0.11492424371044996,-0.05944411356966606,0.09794304046769628,-0.576674235381826,-0.8593379249636837,-0.13880954339825158,-0.42824226716975716,0.5199203187250996,4.988809147275917
us,base_strategy,us_lb6M_sk1M_q10,validation,0.0,False,3272,2010-01-04,2022-12-30,0.9214072173059575,0.0515829821859799,0.11062018090824026,0.5102295049473216,0.6128384513296787,-0.22159284995738404,0.23278270122840225,0.5375916870415648,4.856917096776386
us,base_strategy,us_lb6M_sk1M_q10,validation,25.0,True,3272,2010-01-04,2022-12-30,0.6411117983646764,0.03888941409167912,0.110655352913175,0.40033659677370365,0.48094182910608135,-0.22968568483509422,0.16931579397122756,0.534841075794621,4.856917096776386
us,best_frozen_single,us_lb6M_sk1M_q10,retrospective_holdout,0.0,False,502,2023-01-03,2024-12-31,-0.0926475210300387,-0.04763395372655477,0.09790987289926244,-0.4494868985252429,-0.6732579113505923,-0.12621309545290693,-0.3774089650176444,0.5219123505976095,4.988809147275917
us,best_frozen_single,us_lb6M_sk1M_q10,retrospective_holdout,25.0,True,502,2023-01-03,2024-12-31,-0.11492424371044996,-0.05944411356966606,0.09794304046769628,-0.576674235381826,-0.8593379249636837,-0.13880954339825158,-0.42824226716975716,0.5199203187250996,4.988809147275917
us,best_frozen_single,us_lb6M_sk1M_q10,validation,0.0,False,3272,2010-01-04,2022-12-30,0.9214072173059575,0.0515829821859799,0.11062018090824026,0.5102295049473216,0.6128384513296787,-0.22159284995738404,0.23278270122840225,0.5375916870415648,4.856917096776386
us,best_frozen_single,us_lb6M_sk1M_q10,validation,25.0,True,3272,2010-01-04,2022-12-30,0.6411117983646764,0.03888941409167912,0.110655352913175,0.40033659677370365,0.48094182910608135,-0.22968568483509422,0.16931579397122756,0.534841075794621,4.856917096776386
